Rk,Player,BPM,G,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team
23,Jalen Williams,2.2,241,OKC,1,12,2022,Santa Clara,2022-23,2025-26,21-24,241,228,1,23.1,118,111,12.2,10.9,0.148,1.4,0.8,2.2,8,18.4,2.9,13,8,20.8,2.1,1.7,10.8,23.5,G,OKC
24,Mitchell Robinson,2.2,379,NYK,2,36,2018,,2018-19,2025-26,20-27,379,213,0,39.1,140,107,24.2,14.9,0.21,0.8,1.4,2.2,9.5,20.3,17.1,19.5,18.3,4,1.9,7,11,11.4,C,NYK
25,Draymond Green,2.1,929,GSW,2,35,2012,Michigan State,2012-13,2025-26,22-35,929,774,4,65.6,109,105,20.1,45.6,0.119,-0.7,2.8,2.1,27.7,14.2,4.2,21.3,13,25.8,2.2,2.9,22.4,15.6,F,GSW
26,Desmond Bane,2.1,370,BOS,1,30,2020,TCU,2020-21,2025-26,22-27,370,318,0,30.3,118,114,18.3,12,0.129,2.1,0,2.1,11.7,17.1,2.7,13.3,8,19.3,1.6,1.2,11,23.5,G,"MEM,ORL"
27,Tyrese Maxey,2.1,374,PHI,1,21,2020,Kentucky,2020-21,2025-26,20-25,374,301,2,34.3,119,116,24.3,10,0.133,2.8,-0.7,2.1,12.8,18.6,1.2,9.7,5.4,23.7,1.6,1.1,8,25.9,G,PHI
28,Josh Minott,2.1,126,CHA,2,45,2022,Memphis,2022-23,2025-26,20-23,126,10,0,3.5,126,109,1.8,1.6,0.168,0.3,1.8,2.1,1,16.3,6.9,16.1,11.6,9,2.4,3.3,9.9,15.9,F,"BOS,MIN"
29,Scottie Barnes,2.1,332,TOR,1,4,2021,Florida State,2021-22,2025-26,20-24,332,331,2,24.9,113,113,11.2,13.8,0.104,1.3,0.8,2.1,11.7,17.5,6.9,17.9,12.2,22.2,1.7,3,12.9,22.7,G-F,TOR
30,Cade Cunningham,2.1,258,DET,1,1,2021,Oklahoma State,2021-22,2025-26,20-24,258,258,2,13.7,108,114,4.7,9,0.075,2.3,-0.2,2.1,9,18,2.6,15.3,8.9,38,1.6,1.8,15.3,30.7,G,DET
31,Anthony Edwards,2,430,MIN,1,1,2020,Georgia,2020-21,2025-26,19-24,430,412,4,30.5,110,113,12.5,17.9,0.097,2.3,-0.3,2,15.2,18.2,2.3,14.3,8.4,19.3,1.8,1.6,11.9,29.8,G-F,MIN
32,Jalen Johnson,2,238,ATL,1,20,2021,Duke,2021-22,2025-26,20-24,238,148,1,13.9,114,114,6.5,7.5,0.107,0.9,1.1,2,6.3,17.5,4.6,26,15.1,21.3,1.8,2.1,13.5,21.8,F,ATL
33,Walker Kessler,2,201,MEM,1,22,2022,Auburn,2022-23,2025-26,21-24,201,125,0,17.1,132,113,10.9,6.2,0.161,0.8,1.2,2,5.1,19.9,14.7,24.9,19.9,6.8,0.9,8.3,13.8,13.4,C,UTA
34,Delon Wright,1.9,548,TOR,1,20,2015,Utah,2015-16,2024-25,23-32,548,92,0,28.9,117,110,15.5,13.5,0.124,0,1.9,1.9,11.1,15.1,4.2,11.9,8.1,20.2,2.9,1.4,12.5,14.9,G,"ATL,DAL,DET,MEM,MIA,MIL,NYK,SAC,TOR,WAS"
35,Pascal Siakam,1.9,681,TOR,1,27,2016,New Mexico State,2016-17,2025-26,22-31,681,587,4,58.2,115,112,34.1,24.2,0.131,1.8,0.1,1.9,21.1,18.5,5.3,18.3,11.7,18.3,1.4,1.7,10.3,24.4,F-C,"IND,TOR"
36,Mark Williams,1.9,160,CHA,1,15,2022,Duke,2022-23,2025-26,21-24,160,127,0,15.4,131,111,9.9,5.5,0.195,1.4,0.5,1.9,3.7,22.1,13,26.4,19.6,9,1.6,4.2,11.2,18.5,C,"CHO,PHO"
37,Trayce Jackson-Davis,1.7,169,WAS,2,57,2023,Indiana,2023-24,2025-26,23-25,169,54,0,9.6,130,111,5.9,3.7,0.182,0.7,1,1.7,2.4,19.6,13.3,20,16.6,12.7,1.3,4.9,11.5,16.4,F,"GSW,TOR"
38,Otto Porter Jr.,1.7,527,WAS,1,3,2013,Georgetown,2013-14,2023-24,20-30,527,319,0,36.7,116,107,20.5,16.3,0.132,0.9,0.8,1.7,12.5,15.5,5,16.6,10.8,8.7,2.1,1.4,7.8,16.6,F,"CHI,GSW,ORL,TOR,WAS"
39,Kyle Anderson,1.7,738,SAS,1,30,2014,UCLA,2014-15,2025-26,21-32,738,311,0,40.4,113,107,14.9,25.5,0.122,-0.8,2.4,1.7,14.7,14.2,4,17.8,10.9,17.7,2.3,2.5,13.8,14.6,F-G,"GSW,MEM,MIA,MIN,SAS,UTA"
40,Daniel Gafford,1.7,419,CHI,2,38,2019,Arkansas,2019-20,2025-26,21-27,419,246,0,33.8,134,111,22.7,11.1,0.194,0.4,1.2,1.7,7.8,20.9,11.9,19.2,15.6,7.7,1.3,6.5,13.3,15.9,C-F,"CHI,DAL,WAS"
41,Dereck Lively II,1.6,98,OKC,1,12,2023,Duke,2023-24,2025-26,19-21,98,75,0,8.7,137,112,5.6,3.1,0.187,0.1,1.5,1.6,2,18.7,12.4,20.8,16.6,9.8,1.3,5.6,14.9,13,C,DAL
42,Trey Murphy III,1.5,303,MEM,1,17,2021,Virginia,2021-22,2025-26,21-25,303,192,0,23.3,123,117,16.3,7.1,0.129,2.1,-0.5,1.5,7.8,16.4,3.1,13.1,8.1,11.3,1.7,1.5,7.6,19.8,F,NOP
43,Payton Pritchard,1.5,403,BOS,1,26,2020,Oregon,2020-21,2025-26,23-28,403,65,0,27.3,125,115,18.5,8.9,0.148,1.7,-0.2,1.5,7.8,15.6,3.9,10.7,7.3,19.1,1.3,0.4,9.2,18.8,G,BOS
44,Nic Claxton,1.4,363,NJN,2,31,2019,Georgia,2019-20,2025-26,20-26,363,280,0,30.7,125,111,17.4,13.4,0.154,0,1.4,1.4,8.3,18.6,9.5,23.2,16.2,12.2,1.3,5.6,11.8,15.9,C,BRK
45,Jalen Duren,1.4,252,CHA,1,13,2022,Memphis,2022-23,2025-26,19-22,252,215,1,25,128,112,15.7,9.3,0.178,1,0.5,1.4,5.9,20.3,14.2,28.5,21.3,11.3,1.2,3.1,15.7,17.6,C,DET
46,Bradley Beal,1.4,807,WAS,1,3,2012,Florida,2012-13,2025-26,19-32,807,758,3,58.4,110,113,38.1,20.3,0.101,2.3,-0.9,1.4,23.7,18,2.8,10.3,6.5,20.5,1.6,1,11.3,27,G,"LAC,PHO,WAS"
47,Immanuel Quickley,1.4,379,OKC,1,25,2020,Kentucky,2020-21,2025-26,21-26,379,153,0,26.5,118,115,17.1,9.4,0.126,1.6,-0.2,1.4,8.7,16.2,1.9,12.7,7.2,22.9,1.5,0.4,9.5,22.8,G,"NYK,TOR"
48,Dejounte Murray,1.4,504,SAS,1,29,2016,Washington,2016-17,2025-26,20-29,504,433,1,26.1,108,112,9.5,16.6,0.085,0.7,0.7,1.4,12.6,17.3,3.3,18.3,10.7,27.8,2.4,0.8,12.6,24.5,G,"ATL,NOP,SAS"
