Rk,Player,BPM,G,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team
98,Steven Adams,0.5,796,OKC,1,12,2013,Pittsburgh,2013-14,2025-26,20-32,796,655,0,63.8,119,107,35.4,28.4,0.15,0.2,0.3,0.5,12.8,17,15.3,18.3,16.9,8.1,1.6,3,15.9,14.5,C,"HOU,MEM,NOP,OKC"
99,Onyeka Okongwu,0.4,361,ATL,1,6,2020,Southern California,2020-21,2025-26,20-25,361,119,0,28.8,129,114,19,9.7,0.16,0.1,0.3,0.4,5.3,18.1,10.8,20.8,15.7,9.2,1.5,3.9,11.7,16.3,C-F,ATL
100,Aaron Gordon,0.4,743,ORL,1,4,2014,Arizona,2014-15,2025-26,19-30,743,642,0,49.2,113,112,27.9,21.3,0.109,0.8,-0.4,0.4,13.2,16.1,6.6,16.9,11.7,13.6,1.2,1.8,10.8,20.2,F,"DEN,ORL"
101,Sam Merrill,0.4,208,NOH,2,60,2020,Utah State,2020-21,2025-26,24-29,208,30,0,9.6,125,116,6.2,3.3,0.124,0.7,-0.2,0.4,2.3,12.6,2.7,9.1,6,11.6,1.3,0.6,6.9,16,G,"CLE,MEM,MIL"
102,De'Anthony Melton,0.4,387,HOU,2,46,2018,Southern California,2018-19,2025-26,20-27,387,155,0,15.1,107,110,2.6,12.4,0.082,-1.1,1.5,0.4,5.3,13.5,3.5,14,8.7,16.7,3,1.9,13.8,18.9,G,"GSW,MEM,PHI,PHO"
103,Tyus Jones,0.4,736,CLE,1,24,2015,Duke,2015-16,2025-26,19-29,736,228,0,35,120,115,23.9,11.1,0.11,0.3,0.1,0.4,9.3,14.7,1.4,8.8,5.1,28.3,2.2,0.4,10.3,15.6,G,"DAL,MEM,MIN,ORL,PHO,WAS"
104,Moritz Wagner,0.3,380,LAL,1,25,2018,Michigan,2018-19,2025-26,21-28,380,57,0,17.7,118,112,10.2,7.5,0.136,0.1,0.2,0.3,3.7,17.4,6.7,19.9,13.2,11.5,1.5,1.6,13.4,21.8,F-C,"BOS,LAL,ORL,WAS"
105,Kevon Looney,0.3,617,GSW,1,30,2015,UCLA,2015-16,2025-26,19-29,617,268,0,38,131,109,22.7,15.3,0.173,-0.7,1.1,0.3,6.2,15.6,13.9,21.9,17.9,12.3,1.4,2.8,12.2,11.8,F-C,"GSW,NOP"
106,Charles Bassey,0.3,116,PHI,2,53,2021,Western Kentucky,2021-22,2025-26,21-25,116,3,0,3.9,121,111,2,1.9,0.144,-1.1,1.5,0.3,0.8,18.9,15.2,26.9,20.9,10.4,1.6,6.6,18.5,15.6,C,"MEM,PHI,SAS"
107,OG Anunoby,0.3,537,TOR,1,23,2017,Indiana,2017-18,2025-26,20-28,537,463,0,34.8,113,111,15,19.8,0.102,-0.4,0.6,0.3,9.4,13.6,4.1,12.1,8,8.2,2.1,1.9,10.9,17.8,F,"NYK,TOR"
108,Gorgui Dieng,0.2,628,UTA,1,21,2013,Louisville,2013-14,2022-23,24-33,628,209,0,30.7,113,108,17,13.7,0.117,-0.4,0.7,0.2,7.1,16.2,9.2,22.4,15.7,9.8,1.8,3.6,14.6,16.2,C,"ATL,MEM,MIN,SAS"
109,Norman Powell,0.2,665,MIL,2,46,2015,UCLA,2015-16,2025-26,22-32,665,307,1,36.3,114,113,20.7,15.5,0.106,0.6,-0.3,0.2,9.3,15.4,1.6,10.6,6.1,10,1.7,1,10.2,22.6,G,"LAC,MIA,POR,TOR"
110,Monte Morris,0.2,426,DEN,2,51,2017,Iowa State,2017-18,2025-26,22-30,426,166,0,24.7,121,115,17.3,7.4,0.12,0.5,-0.3,0.2,5.6,14.8,1.6,9.4,5.6,21.7,1.5,0.7,8,16.9,G,"DEN,DET,IND,MIN,PHO,WAS"
111,Buddy Hield,0.2,759,NOH,1,6,2016,Oklahoma,2016-17,2025-26,24-33,759,437,0,28.8,109,115,14.7,14,0.066,1.3,-1.1,0.2,11.7,14.3,2.8,13.3,8,13.1,1.5,1,11,22.3,G-F,"ATL,GSW,IND,NOP,PHI,SAC"
112,Brandin Podziemski,0.2,196,GSW,1,19,2023,Santa Clara,2023-24,2025-26,20-22,196,80,0,11.7,116,114,5.5,6.2,0.107,-0.3,0.5,0.2,2.9,13.8,4.8,16.8,10.7,18.7,1.8,0.7,11.5,17.5,G,GSW
113,Grayson Allen,0.2,440,UTA,1,21,2018,Duke,2018-19,2025-26,23-30,440,278,0,25.4,120,116,16,9.5,0.108,0.4,-0.2,0.2,6.3,13.1,2.3,10.3,6.4,11.6,1.5,1,10.4,16.8,G,"MEM,MIL,PHO,UTA"
114,Jordan Bell,0.2,161,CHI,2,38,2017,Oregon,2017-18,2021-22,23-27,161,17,0,4.9,113,107,2.1,2.8,0.121,-1.4,1.5,0.2,1.1,15,8.9,18.6,13.9,13.7,1.5,5.1,18.6,14.1,F,"CHI,GSW,MEM,MIN,WAS"
115,Darius Garland,0.2,408,CLE,1,5,2019,Vanderbilt,2019-20,2025-26,20-26,408,404,2,26,112,115,14.8,11.3,0.093,1.6,-1.4,0.2,7.4,16.2,1.7,7.2,4.5,31.6,1.7,0.3,15.1,25.7,G,CLE
116,Terry Rozier,0.2,665,BOS,1,16,2015,Louisville,2015-16,2024-25,21-30,665,381,0,30.6,109,113,13.8,16.8,0.08,0.6,-0.4,0.2,10.1,14.7,2.6,13,7.7,19.8,1.6,0.8,9.4,22.6,G,"BOS,CHO,MIA"
117,Brandon Ingram,0.1,551,LAL,1,2,2016,Duke,2016-17,2025-26,19-28,551,512,2,30.6,109,114,15.7,14.9,0.081,0.8,-0.7,0.1,9.9,16.1,2.4,14.9,8.6,20.3,1.1,1.6,12.7,25.8,F,"LAL,NOP,TOR"
118,Jae Crowder,0.1,812,CLE,2,34,2012,Marquette,2012-13,2024-25,22-34,812,436,0,43,110,108,18.7,24.3,0.102,-0.5,0.7,0.1,10.9,12.5,3.1,15.2,9.2,8.9,1.9,1.1,9,16.2,F,"BOS,CLE,DAL,MEM,MIA,MIL,PHO,SAC,UTA"
119,Richaun Holmes,0.1,489,PHI,2,37,2015,Bowling Green,2015-16,2024-25,22-31,489,178,0,30.7,125,111,21.3,9.4,0.158,-0.1,0.2,0.1,5,18.5,9.9,20.7,15.3,7.9,1.3,4.1,11.1,16.7,C-F,"DAL,PHI,PHO,SAC,WAS"
120,Luka Garza,0.1,172,DET,2,52,2021,Iowa,2021-22,2025-26,23-27,172,9,0,6.6,128,115,4.9,1.7,0.183,1.3,-1.2,0.1,0.9,19.4,15.9,12.1,14,8.7,1.2,1.8,8.9,21.3,F-C,"BOS,DET,MIN"
121,Miles Bridges,0.1,478,LAC,1,12,2018,Michigan State,2018-19,2025-26,20-27,478,373,0,25.8,112,115,14.1,11.7,0.084,0.6,-0.5,0.1,7.6,15.5,3.8,18.2,10.9,14.2,1.2,2,10.1,21.9,G-F,CHO
122,Day'Ron Sharpe,0,246,PHO,1,29,2021,North Carolina,2021-22,2025-26,20-24,246,20,0,11.8,119,111,6.4,5.3,0.149,-0.2,0.3,0,2,19.9,18.5,24.5,21.3,14.9,2,3.8,17.1,19.7,C,BRK
123,Luke Kennard,0,513,DET,1,12,2017,Duke,2017-18,2025-26,21-29,513,122,0,26.5,119,115,17,9.6,0.107,0.3,-0.3,0,6,13,1.5,11.6,6.5,13.9,1.2,0.5,10.8,16.3,G,"ATL,DET,LAC,LAL,MEM"
124,Ryan Rollins,0,135,ATL,2,44,2022,Toledo,2022-23,2025-26,20-23,135,68,0,4.6,111,115,1.8,2.9,0.082,-0.2,0.2,0,1.4,15.3,2.9,12.7,7.9,22.8,2.4,1.6,15.4,22.3,G,"GSW,MIL,WAS"
125,Mo Bamba,0,366,ORL,1,6,2018,Texas,2018-19,2025-26,20-27,366,101,0,15.6,112,107,5.5,10.1,0.122,-1.1,1,0,3.1,16.3,9.6,25.4,17.4,7.5,1.1,6.9,11.7,17.4,C,"LAC,LAL,NOP,ORL,PHI,TOR"
126,Jalen Smith,-0.1,317,PHO,1,10,2020,Maryland,2020-21,2025-26,20-25,317,71,0,14.4,120,114,8.8,5.6,0.131,0.9,-1,-0.1,2.5,17.9,10.8,25.2,18.1,7.5,0.8,3.6,9.7,20.2,F,"CHI,IND,PHO"
127,Willie Cauley-Stein,-0.1,422,SAC,1,6,2015,Kentucky,2015-16,2021-22,22-28,422,255,0,23.3,114,108,12.5,10.9,0.121,-0.8,0.7,-0.1,4.4,16.6,8,21.3,14.5,9.8,1.8,3.2,10.5,17.1,F-C,"DAL,GSW,PHI,SAC"
128,Spencer Dinwiddie,-0.1,621,DET,2,38,2014,Colorado,2014-15,2024-25,21-31,621,345,0,36,114,115,24.5,11.5,0.1,0.5,-0.6,-0.1,8.1,14.7,1.6,10,5.8,27.3,1.3,0.8,12,21,G,"BRK,DAL,DET,LAL,WAS"
129,Jarred Vanderbilt,-0.2,357,ORL,2,41,2018,Kentucky,2018-19,2025-26,19-26,357,173,0,18.2,120,111,8.3,9.8,0.123,-1.4,1.2,-0.2,3.2,14.4,10.7,22.7,16.7,9.4,2.5,1.9,16.6,12.4,F,"DEN,LAL,MIN,UTA"
130,Caris LeVert,-0.2,563,IND,1,20,2016,Michigan,2016-17,2025-26,22-31,563,223,0,25.2,108,112,9.2,16,0.079,-0.3,0.1,-0.2,7,14.5,2.7,11.9,7.3,21.8,1.8,1.3,12,22.6,G-F,"ATL,BRK,CLE,DET,IND"
131,Xavier Tillman Sr.,-0.2,279,SAC,2,35,2020,Michigan State,2020-21,2025-26,22-27,279,61,0,10.2,114,109,3.5,6.7,0.114,-1.7,1.5,-0.2,1.9,14.1,8.7,16.4,12.5,10.2,2.5,2.7,11.9,14.5,F,"BOS,CHO,MEM"
132,Frank Kaminsky,-0.2,413,CHA,1,9,2015,Wisconsin,2015-16,2022-23,22-29,413,49,0,15.9,109,110,8,7.9,0.094,0,-0.3,-0.2,3.7,14.2,4,17.3,10.6,12.2,1.1,1.5,8.5,20,F-C,"ATL,CHO,HOU,PHO"
133,Tre Jones,-0.2,339,SAS,2,41,2020,Duke,2020-21,2025-26,21-26,339,154,0,18.2,123,118,13.4,4.8,0.116,-0.2,0,-0.2,3.4,15.7,2.9,10.6,6.7,29.6,1.9,0.5,12.6,16.5,G,"CHI,SAS"
134,Mike Muscala,-0.2,548,DAL,2,44,2013,Bucknell,2013-14,2023-24,22-32,548,45,0,19.2,115,110,10.4,8.8,0.112,-0.3,0.1,-0.2,3.7,13.5,5.7,16.6,11.2,8.2,1,2.6,9.9,16,F-C,"ATL,BOS,DET,LAL,OKC,PHI,WAS"
135,Jaxson Hayes,-0.3,414,ATL,1,8,2019,Texas,2019-20,2025-26,19-25,414,94,0,23.2,132,113,15.8,7.4,0.163,-0.7,0.4,-0.3,3,16.9,9.1,17.1,13.2,6.3,1.3,3.7,12.4,14.5,F,"LAL,NOP"
136,Wendell Carter Jr.,-0.4,438,CHI,1,7,2018,Duke,2018-19,2025-26,19-26,438,400,0,31.3,116,111,15.3,16,0.124,-0.7,0.3,-0.4,5,15.9,9,24.2,16.5,11.1,1.2,2.4,12.8,18.1,C,"CHI,ORL"
137,Bol Bol,-0.4,202,MIA,2,44,2019,Oregon,2019-20,2024-25,20-25,202,45,0,5,110,112,1.4,3.6,0.088,-0.8,0.4,-0.4,1.1,15.5,5.4,23.5,14.5,6.8,1,5.3,15,18.6,F-C,"DEN,ORL,PHO"
138,Cam Whitmore,-0.4,119,HOU,1,20,2023,Villanova,2023-24,2025-26,19-21,119,5,0,3.4,109,114,0.9,2.5,0.078,0.5,-0.9,-0.4,0.8,15.7,5.1,15.2,10.1,7.3,1.8,1.7,8.8,25.3,F,"HOU,WAS"
139,Jared Sullinger,-0.4,269,BOS,1,21,2012,Ohio State,2012-13,2016-17,20-24,269,172,0,15.3,105,103,6.2,9.2,0.113,-0.1,-0.3,-0.4,2.7,16.2,11.5,22.7,17,12,1.4,1.9,10.2,22,F,"BOS,TOR"
140,Moussa Diabaté,-0.4,155,LAC,2,43,2022,Michigan,2022-23,2025-26,21-24,155,34,0,9,130,113,5.6,3.5,0.155,-0.4,0,-0.4,1.2,17.1,16.6,20.9,18.7,7.6,1.7,3.4,13.9,12.9,F,"CHO,LAC"
141,Will Barton,-0.4,679,POR,2,40,2012,Memphis,2012-13,2022-23,22-32,679,286,0,26.5,107,111,12.7,13.8,0.074,0.1,-0.5,-0.4,6.9,13.9,3.1,15.1,9.1,15.7,1.5,1.4,11.7,20.6,G,"DEN,POR,TOR,WAS"
142,T.J. Warren,-0.4,385,PHO,1,14,2014,NC State,2014-15,2023-24,21-30,385,236,0,20.9,112,112,13.9,7,0.097,0.4,-0.8,-0.4,4.1,16.4,5,11,8,7.1,1.6,1.4,7,21.7,F,"BRK,IND,MIN,PHO"
143,Tony Bradley,-0.4,231,LAL,1,28,2017,North Carolina,2017-18,2025-26,20-28,231,21,0,8.9,127,110,5.6,3.3,0.17,-0.2,-0.2,-0.4,1,18.5,15.4,22.7,19.1,6.9,1,3.9,13.6,15.5,F-C,"CHI,IND,OKC,PHI,UTA"
144,Bobby Portis,-0.4,708,CHI,1,22,2015,Arkansas,2015-16,2025-26,20-30,708,162,0,36.3,112,111,17.2,19.1,0.107,0.7,-1.1,-0.4,6.6,17.2,8.8,24.4,16.7,9,1.3,1.4,9.1,22.4,F-C,"CHI,MIL,NYK,WAS"
145,Jerami Grant,-0.4,762,PHI,2,39,2014,Syracuse,2014-15,2025-26,20-31,762,458,0,39.4,112,113,21.1,18.2,0.089,-0.2,-0.2,-0.4,8.3,14,3.2,12.3,7.6,9.2,1.2,3.1,10,20.1,F,"DEN,DET,OKC,PHI,POR"
146,Jalen Suggs,-0.4,245,ORL,1,5,2021,Gonzaga,2021-22,2025-26,20-24,245,208,0,7.6,103,111,-1.8,9.4,0.056,-1.6,1.1,-0.4,2.5,13.2,3,11.7,7.3,20.8,2.6,2.2,16.4,22.7,G,ORL
147,Miles McBride,-0.4,271,OKC,2,36,2021,West Virginia,2021-22,2025-26,21-25,271,42,0,10.4,118,116,5.8,4.6,0.099,-1,0.5,-0.4,2,11.8,2.6,7.3,4.9,13.9,2,0.7,6.8,16.3,G,NYK
148,John Henson,-0.5,445,MIL,1,14,2012,North Carolina,2012-13,2019-20,22-29,445,160,0,20.7,109,105,9.5,11.2,0.113,-1.1,0.6,-0.5,3.4,17.1,10.4,20.5,15.4,9.1,1.2,6.2,14,18.1,C-F,"CLE,DET,MIL"
149,Quentin Grimes,-0.5,295,LAC,1,25,2021,Houston,2021-22,2025-26,21-25,295,134,0,13.6,116,117,7.6,6,0.087,-0.3,-0.1,-0.5,2.9,12.6,2.6,11.3,6.9,13.1,1.5,1.1,11.7,17.7,G-F,"DAL,DET,NYK,PHI"
150,Pat Connaughton,-0.5,620,NJN,2,41,2015,Notre Dame,2015-16,2025-26,23-33,620,72,0,25,117,112,12.2,12.8,0.103,-0.8,0.3,-0.5,4.5,11.2,3.9,14.4,9.3,9.5,1.2,1.2,9.4,13,G,"CHO,MIL,POR"
151,Devin Vassell,-0.5,347,SAS,1,11,2020,Florida State,2020-21,2025-26,20-25,347,228,0,14.7,111,116,6.5,8.2,0.073,-0.1,-0.4,-0.5,3.8,13.9,1.7,12.7,7.2,13.5,1.7,1.3,7.8,20.7,G-F,SAS
152,Devonte' Graham,-0.5,336,ATL,2,34,2018,Kansas,2018-19,2023-24,23-28,336,171,0,12.7,111,116,8.1,4.6,0.073,0.8,-1.3,-0.5,3.2,13.4,1.7,8.4,5,25.9,1.5,0.6,11.8,20.6,G,"CHO,NOP,SAS"
153,Bones Hyland,-0.5,236,DEN,1,26,2021,VCU,2021-22,2025-26,21-25,236,13,0,6.4,109,114,2.2,4.1,0.078,0,-0.5,-0.5,1.5,14.3,1.8,12,7,22.8,1.9,1.2,12.6,24.5,G,"DEN,LAC,MIN"
154,Saddiq Bey,-0.5,344,NJN,1,19,2020,Villanova,2020-21,2025-26,21-26,344,267,0,18.4,116,118,12.6,5.9,0.085,0.8,-1.4,-0.5,3.9,14.2,5.1,14.5,9.6,9.6,1.4,0.5,6.8,19.7,F,"ATL,DET,NOP"
155,Marcus Smart,-0.5,682,BOS,1,6,2014,Oklahoma State,2014-15,2025-26,20-31,682,427,0,35.4,106,109,9.6,25.8,0.085,-1.6,1,-0.5,7.3,12.2,2.9,9.7,6.3,21.1,2.6,1.1,15.5,17.8,G,"BOS,LAL,MEM,WAS"
156,Cameron Payne,-0.6,481,OKC,1,14,2015,Murray State,2015-16,2025-26,21-31,481,71,0,13.9,109,113,5.7,8.2,0.079,-0.6,-0.1,-0.6,3,13.3,1.8,10.7,6.3,26.1,1.8,1,13,21,G,"CHI,CLE,MIL,NYK,OKC,PHI,PHO"
157,Josh Richardson,-0.6,554,MIA,2,40,2015,Tennessee,2015-16,2024-25,22-31,554,322,0,27.7,109,111,10.8,16.8,0.084,-1,0.4,-0.6,5.5,12.4,2.6,9.1,5.9,13.6,1.8,1.6,11.1,18.3,G,"BOS,DAL,MIA,NOP,PHI,SAS"
158,Isaiah Jackson,-0.6,203,LAL,1,22,2021,Kentucky,2021-22,2025-26,20-24,203,45,0,9.2,122,112,5.2,4,0.143,-1.4,0.8,-0.6,1.1,18.6,13,19.8,16.3,6.6,1.9,6.7,13.6,18,C-F,"IND,LAC"
159,Andre Roberson,-0.6,307,MIN,1,26,2013,Colorado,2013-14,2020-21,22-29,307,269,0,12.6,109,106,4.2,8.4,0.089,-2.1,1.4,-0.6,2.3,9.7,5.9,13.8,9.9,5.3,2,2.4,12.2,9.5,G-F,"BRK,OKC"
160,Cody Zeller,-0.7,552,CHA,1,4,2013,Indiana,2013-14,2023-24,21-31,552,275,0,33.5,116,107,19,14.6,0.14,-1.2,0.5,-0.7,3.9,16.1,10,20,14.9,10,1.4,2.4,12.7,16.9,C-F,"CHA,CHO,MIA,NOP,POR"
161,Rondae Hollis-Jefferson,-0.7,305,POR,1,23,2015,Arizona,2015-16,2020-21,21-26,305,154,0,12.9,106,107,4.3,8.6,0.091,-1.6,0.9,-0.7,2.3,14.6,7,19.5,13.2,13.1,2,1.9,12.8,19.4,F,"BRK,POR,TOR"
162,Joe Harris,-0.7,504,CLE,2,33,2014,Virginia,2014-15,2023-24,23-32,504,283,0,23.1,116,114,15.4,7.7,0.09,0,-0.7,-0.7,4.1,12.2,2.3,10.8,6.6,9.5,0.9,0.6,11.1,16.4,G,"BRK,CLE,DET"
163,Shabazz Napier,-0.7,345,CHA,1,24,2014,Connecticut,2014-15,2019-20,23-28,345,55,0,8.1,104,110,2.5,5.6,0.065,-0.9,0.2,-0.7,2,12.9,1.9,10.2,6,21,2.3,0.7,16.5,19.8,G,"BRK,MIA,MIN,ORL,POR,WAS"
164,Skylar Mays,-0.7,105,ATL,2,50,2020,Louisiana State,2020-21,2023-24,23-26,105,16,0,2.1,116,117,1.4,0.8,0.092,-0.4,-0.3,-0.7,0.4,14.4,2.7,9.6,6.1,24.3,2.1,0.6,10.5,18.1,G,"ATL,LAL,POR"
165,Herbert Jones,-0.7,276,NOH,2,35,2021,Alabama,2021-22,2025-26,23-27,276,267,0,16.1,115,113,6.8,9.3,0.093,-2.1,1.3,-0.7,2.7,11.9,4.3,9.7,7,11.2,2.6,2.2,13.2,14.2,F,NOP
166,Harrison Barnes,-0.8,1050,GSW,1,7,2012,North Carolina,2012-13,2025-26,20-33,1050,981,0,65.1,114,113,42.2,22.9,0.096,0.2,-1,-0.8,9.7,13.6,3.6,13,8.3,8.3,1.1,0.5,8.6,18.4,F,"DAL,GSW,SAC,SAS"
167,Cole Anthony,-0.8,355,ORL,1,15,2020,North Carolina,2020-21,2025-26,20-25,355,125,0,10.6,106,113,1.2,9.4,0.06,-0.8,0,-0.8,2.6,13.9,3.2,16.1,9.6,25,1.4,1.6,14.1,24,G,"MIL,ORL"
168,Jabari Parker,-0.8,310,MIL,1,2,2014,Duke,2014-15,2021-22,19-26,310,190,0,13.8,106,111,7.2,6.7,0.078,0.3,-1.1,-0.8,2.5,16.3,6,16.5,11.2,11.8,1.6,1.2,11.9,23.3,F,"ATL,BOS,CHI,MIL,SAC,WAS"
169,Maurice Harkless,-0.8,621,PHI,1,15,2012,St. John's (NY),2012-13,2021-22,19-28,621,372,0,23,107,109,8.9,14,0.079,-1.6,0.8,-0.8,4.1,11.7,5.2,12,8.6,5.9,2.1,2.3,11.8,13.9,F-G,"LAC,MIA,NYK,ORL,POR,SAC"
170,Aaron Wiggins,-0.8,318,OKC,2,55,2021,Maryland,2021-22,2025-26,23-27,318,95,0,14.6,116,113,6.6,8,0.108,-0.7,-0.2,-0.8,1.9,13.5,4.8,11.9,8.4,9.5,1.7,1.3,11.1,17.4,G,OKC
171,Kevin Porter Jr.,-0.9,302,MIL,1,30,2019,Southern California,2019-20,2025-26,19-25,302,179,0,8.9,107,116,2.6,6.3,0.051,-0.3,-0.6,-0.9,2.4,14.7,3,13.7,8.3,26.8,2.1,1,16.6,24.1,G,"CLE,HOU,LAC,MIL"
172,Justin Hamilton,-0.9,113,PHI,2,45,2012,Louisiana State,2013-14,2016-17,23-26,113,21,0,3.7,110,109,2.1,1.6,0.091,-0.5,-0.4,-0.9,0.5,13.9,7.5,15,11.3,7.3,1.5,2.9,10.5,15.5,C,"BRK,CHA,MIA,MIN"
173,Moses Moody,-0.9,311,GSW,1,14,2021,Arkansas,2021-22,2025-26,19-23,311,102,0,11.6,117,115,5.8,5.8,0.099,-0.7,-0.3,-0.9,1.5,12.4,4,10.6,7.3,7.8,1.5,1.7,8.6,17.1,G,GSW
174,Malik Beasley,-0.9,578,DEN,1,19,2016,Florida State,2016-17,2024-25,20-28,578,209,0,20.1,111,116,10.6,9.5,0.07,0.2,-1.2,-0.9,3.7,12.4,2,10.8,6.4,8.3,1.4,0.4,7.4,19.8,G,"DEN,DET,LAL,MIL,MIN,UTA"
175,Keldon Johnson,-1,427,SAS,1,29,2019,Kentucky,2019-20,2025-26,20-26,427,232,0,21.7,114,116,12.9,8.8,0.087,0.3,-1.3,-1,3.1,15.3,4.9,16,10.4,10.9,1.2,0.7,8.8,22,G,SAS
176,Kentavious Caldwell-Pope,-1,963,DET,1,8,2013,Georgia,2013-14,2025-26,20-32,963,784,0,49.6,110,111,22.3,27.3,0.085,-1.4,0.4,-1,7.2,11.6,2.1,9,5.5,9,1.9,0.8,9.3,16.3,G,"DEN,DET,LAL,MEM,ORL,WAS"
177,Kevin Huerter,-1,530,ATL,1,19,2018,Maryland,2018-19,2025-26,20-27,530,392,0,20.5,112,116,11.2,9.3,0.067,-0.6,-0.4,-1,3.8,12.2,2.2,11.3,6.8,14.7,1.6,1.2,10.4,17.6,G,"ATL,CHI,DET,SAC"
178,Damian Jones,-1,279,GSW,1,30,2016,Vanderbilt,2016-17,2023-24,21-28,279,75,0,11.3,129,113,7.7,3.6,0.143,-1.5,0.5,-1,1,15.4,8.5,16.6,12.5,7.2,1.2,4.1,15.1,13.1,F-C,"ATL,CLE,GSW,LAL,PHO,SAC,UTA"
179,Terrence Ross,-1,733,TOR,1,8,2012,Washington,2012-13,2022-23,21-31,733,187,0,25,105,110,9.3,15.7,0.067,-0.5,-0.5,-1,4.5,12.4,1.6,11.3,6.4,8.2,1.6,1.1,8.6,20.1,F-G,"ORL,PHO,TOR"
180,Trey Lyles,-1,650,UTA,1,12,2015,Kentucky,2015-16,2024-25,20-29,650,131,0,22,111,112,10.1,11.9,0.088,-0.4,-0.6,-1,3,13.4,5.4,21,13.2,8.5,1.1,1.7,10.4,18.2,F,"DEN,DET,SAC,SAS,UTA"
181,Chuma Okeke,-1.1,198,ORL,1,16,2019,Auburn,2020-21,2024-25,22-26,198,58,0,5,105,112,0.3,4.7,0.06,-1.8,0.8,-1.1,1,11.2,4.1,16.1,10,10.5,2.1,2,9.6,14.6,F,"CLE,ORL,PHI"
182,Malik Monk,-1.1,569,CHA,1,11,2017,Kentucky,2017-18,2025-26,19-27,569,83,0,15.7,109,117,7.7,8.1,0.058,0.3,-1.4,-1.1,3,14.2,1.7,10.9,6.2,20.6,1.3,1.4,12.7,24,G,"CHO,LAL,SAC"
183,Terance Mann,-1.1,462,LAC,2,48,2019,Florida State,2019-20,2025-26,23-29,462,211,0,23.3,121,116,14.5,8.8,0.108,-1,0,-1.1,2.4,12.6,5,12.1,8.6,13,1.2,0.9,10.7,14.8,G-F,"ATL,BRK,LAC"
184,Jordan Clarkson,-1.1,805,WAS,2,46,2014,Missouri,2014-15,2025-26,22-33,805,232,0,24.9,107,116,15.1,9.9,0.055,0.6,-1.7,-1.1,5,15.1,3.4,9.6,6.5,17.1,1.4,0.5,11.2,25.8,G,"CLE,LAL,NYK,UTA"
185,Christian Braun,-1.1,259,DEN,1,21,2022,Kansas,2022-23,2025-26,21-24,259,109,0,14.5,124,116,9.1,5.4,0.112,-0.7,-0.4,-1.1,1.4,13.3,4.9,12.7,9,9.7,1.4,1.4,9.2,15.1,G,DEN
186,Jaime Jaquez Jr.,-1.1,195,MIA,1,18,2023,UCLA,2023-24,2025-26,22-24,195,38,0,9.1,111,113,2.8,6.3,0.087,-1.5,0.4,-1.1,1.1,13.9,5.2,13.5,9.3,17.9,1.8,0.9,14,20.1,G-F,MIA
187,Nickeil Alexander-Walker,-1.1,439,NJN,1,17,2019,Virginia Tech,2019-20,2025-26,21-27,439,119,0,13.2,108,114,3.1,10.1,0.064,-1,-0.1,-1.1,2.2,11.9,2.2,10.6,6.4,15.8,1.6,1.7,12.3,19.9,G,"ATL,MIN,NOP,UTA"
188,Elfrid Payton,-1.1,524,PHI,1,10,2014,Louisiana,2014-15,2024-25,20-30,524,404,0,15.1,102,110,2.6,12.6,0.052,-1,-0.1,-1.1,3.1,14.3,4.2,12.3,8.2,32.9,2.2,1,17.8,20.2,G,"CHO,NOP,NYK,ORL,PHO"
189,Kris Dunn,-1.1,464,MIN,1,5,2016,Providence,2016-17,2025-26,22-31,464,273,0,14.4,105,111,1.7,12.7,0.062,-2.8,1.6,-1.1,2.4,12.1,2.6,12.9,7.7,23.8,3,1.5,17.1,16.4,G,"ATL,CHI,LAC,MIN,POR,UTA"
190,Kai Jones,-1.2,107,NYK,1,19,2021,Texas,2021-22,2024-25,21-24,107,6,0,2.8,123,112,1.4,1.4,0.126,-2.1,0.9,-1.2,0.2,14.8,8,18,13,5.8,1.5,4.6,16.8,12.9,F-C,"CHO,DAL,LAC"
191,Tim Hardaway Jr.,-1.2,870,NYK,1,24,2013,Michigan,2013-14,2025-26,21-33,870,427,0,37.2,111,115,23.5,13.7,0.075,0.3,-1.4,-1.2,5,13.2,1.2,10.3,5.8,10.1,1.1,0.4,7.2,21.4,G,"ATL,DAL,DEN,DET,NYK"
192,Reggie Bullock,-1.2,556,LAC,1,25,2013,North Carolina,2013-14,2023-24,22-32,556,294,0,21.4,113,113,10.4,11.1,0.082,-1.2,0,-1.2,2.6,10,1.6,11.2,6.4,7.4,1.3,0.6,7.8,13.5,G-F,"DAL,DET,HOU,LAC,LAL,NYK,PHO"
193,Andrew Wiggins,-1.2,819,CLE,1,1,2014,Kansas,2014-15,2025-26,19-30,819,807,1,36.8,106,113,18.1,18.7,0.064,0.1,-1.3,-1.2,5.6,14.8,4.4,10.5,7.4,11,1.4,1.8,9.8,24.3,F-G,"GSW,MIA,MIN"
194,Jordan Miller,-1.2,81,LAC,2,48,2023,Miami (FL),2023-24,2025-26,24-26,81,0,0,2.1,115,116,1.1,1,0.087,-0.8,-0.4,-1.2,0.2,13.6,5.9,11.1,8.6,12.2,1.8,0.9,13.9,18.6,G,LAC
